record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,form_1_timestamp,form_1_complete,current_light_mood_and_alertness_timestamp,ema_light,currentight,check_mixedlight,additional_light,currentmood,anxious,elated,sad,angry,irritable,energetic,kss_instr,kss,uuid_4,startdate_4,enddate_4,scheduledate_4,status_4,supplementaldata_4,serializedresult_4,current_light_mood_and_alertness_complete
THUAS_S016,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
THUAS_S016,current_light_mood_and_alertness,1.0,,,,,1.0,L,1.0,E,1.0,2.0,3.0,0.0,0.0,2.0,2.0,1.0,6.0,4EDBEB50-5B42-11F0-83C2-57F33AC22903,2025-07-07 16:54:39,2025-07-07 16:55:40,,1.0,"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""13"",    ""syncdate"": ""2025-07-07 16:55:40"",    ""utcTime"": ""2025-07-07 14:54:39.748283Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""SM-A515F"",    ""percentComplete"": ""100""  }",result.zip,0.0
THUAS_S016,current_light_mood_and_alertness,2.0,,,,,1.0,I,0.0,,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,4.0,AD02B500-5B5C-11F0-B7B2-111F9BA8EE95,2025-07-07 20:03:24,2025-07-07 20:04:34,,1.0,"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""13"",    ""syncdate"": ""2025-07-07 20:04:34"",    ""utcTime"": ""2025-07-07 18:03:24.622289Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""SM-A515F"",    ""percentComplete"": ""93""  }",result.zip,0.0
THUAS_S016,current_light_mood_and_alertness,3.0,,,,,1.0,I,1.0,E,1.0,4.0,0.0,1.0,1.0,4.0,0.0,1.0,9.0,0D4B5300-5BD4-11F0-B5E9-5FE3389FACBC,2025-07-08 10:17:56,2025-07-08 10:18:56,,1.0,"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""13"",    ""syncdate"": ""2025-07-08 10:18:57"",    ""utcTime"": ""2025-07-08 08:17:56.272888Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""SM-A515F"",    ""percentComplete"": ""100""  }",result.zip,0.0
THUAS_S016,current_light_mood_and_alertness,4.0,,,,,1.0,L,1.0,I,1.0,1.0,3.0,0.0,0.0,1.0,3.0,1.0,3.0,A659E730-5BEA-11F0-A1F1-9D0CAC7BD26A,2025-07-08 12:59:41,2025-07-08 13:00:26,,1.0,"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""13"",    ""syncdate"": ""2025-07-08 13:00:26"",    ""utcTime"": ""2025-07-08 10:59:41.986903Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""SM-A515F"",    ""percentComplete"": ""100""  }",result.zip,0.0
THUAS_S016,current_light_mood_and_alertness,5.0,,,,,1.0,I,1.0,E,1.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,3.0,2BCDFB40-5BF5-11F0-B6FA-03ED2DDBA219,2025-07-08 14:15:00,2025-07-08 14:17:26,,1.0,"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""13"",    ""syncdate"": ""2025-07-08 14:17:26"",    ""utcTime"": ""2025-07-08 12:15:00.852379Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""SM-A515F"",    ""percentComplete"": ""100""  }",result.zip,0.0
THUAS_S016,current_light_mood_and_alertness,6.0,,,,,1.0,I,1.0,E,1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,6.0,4CFFA270-5C0C-11F0-9B4C-995A20C67A2B,2025-07-08 17:00:34,2025-07-08 17:01:09,,1.0,"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""13"",    ""syncdate"": ""2025-07-08 17:01:10"",    ""utcTime"": ""2025-07-08 15:00:34.966989Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""SM-A515F"",    ""percentComplete"": ""100""  }",result.zip,0.0
THUAS_S016,current_light_mood_and_alertness,7.0,,,,,1.0,I,0.0,,1.0,0.0,4.0,1.0,0.0,1.0,5.0,1.0,3.0,24F81250-5C28-11F0-A62C-A5E30AECDC24,2025-07-08 20:19:53,2025-07-08 20:20:43,,1.0,"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""13"",    ""syncdate"": ""2025-07-08 20:20:43"",    ""utcTime"": ""2025-07-08 18:19:53.717704Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""SM-A515F"",    ""percentComplete"": ""93""  }",result.zip,0.0
THUAS_S016,current_light_mood_and_alertness,8.0,,,,,1.0,L,1.0,E,1.0,4.0,0.0,1.0,0.0,3.0,0.0,1.0,8.0,903D48A0-5CA5-11F0-8D58-BD8928336C7D,2025-07-09 11:17:40,2025-07-09 11:18:18,,1.0,"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""13"",    ""syncdate"": ""2025-07-09 11:18:19"",    ""utcTime"": ""2025-07-09 09:17:40.778453Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""SM-A515F"",    ""percentComplete"": ""100""  }",result.zip,0.0
THUAS_S016,current_light_mood_and_alertness,9.0,,,,,1.0,L,1.0,E,1.0,2.0,0.0,3.0,2.0,4.0,0.0,1.0,9.0,FD816C90-5CBC-11F0-9A1E-7FCDB0A24251,2025-07-09 14:05:22,2025-07-09 14:06:07,,1.0,"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""13"",    ""syncdate"": ""2025-07-09 14:06:08"",    ""utcTime"": ""2025-07-09 12:05:22.519822Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""SM-A515F"",    ""percentComplete"": ""100""  }",result.zip,0.0
